Ind,Sample,First_Assign,First_Per,Second_Assign,Second_Per,Third_Assign,Third_Per,Fourth_Assign,Fourth_Per,Fifth_Assign,Fifth_Per
QAc-G-0200,/TMA,Kessler,97.939,Magazine,2.061,Porter,0,Pryor,0,Sugar_Loaf,0
QAc-G-0201,/TMA,Magazine,99.395,Kessler,0.604,Pryor,0.001,Porter,0,Sugar_Loaf,0
QAc-G-0202,/TMA,Pryor,77.753,Kessler,22.066,Magazine,0.18,Porter,0,Sugar_Loaf,0
QAc-G-0203,/TMA,Kessler,45.974,Pryor,36.882,Magazine,17.144,Sugar_Loaf,0,Porter,0
QAc-G-0204,/TMA,Magazine,99.936,Kessler,0.062,Pryor,0.002,Sugar_Loaf,0,Porter,0
QAc-G-0205,/TMA,Magazine,99.998,Kessler,0.002,Pryor,0,Porter,0,Sugar_Loaf,0
QAc-G-0206,/TMA,Kessler,99.398,Magazine,0.586,Porter,0.012,Pryor,0.003,Sugar_Loaf,0
QAc-G-0207,/TMA,Pryor,95.939,Kessler,3.716,Magazine,0.345,Porter,0,Sugar_Loaf,0
QAc-G-0208,/TMA,Magazine,99.973,Kessler,0.023,Pryor,0.004,Porter,0,Sugar_Loaf,0
QAc-G-0209,/TMA,Kessler,51.828,Magazine,48.172,Pryor,0,Porter,0,Sugar_Loaf,0
QAc-G-0210,/TMA,Kessler,99.935,Magazine,0.065,Pryor,0,Porter,0,Sugar_Loaf,0
QAc-G-0211,/TMA,Kessler,99.512,Pryor,0.487,Magazine,0.001,Sugar_Loaf,0,Porter,0
QAc-G-0212,/TMA,Magazine,99.975,Pryor,0.025,Kessler,0,Porter,0,Sugar_Loaf,0
QAc-G-0213,/TMA,Kessler,99.992,Magazine,0.008,Pryor,0,Porter,0,Sugar_Loaf,0
QAc-G-0214,/TMA,Magazine,82.775,Pryor,17.214,Kessler,0.01,Porter,0.001,Sugar_Loaf,0
QAc-G-0215,/TMA,Magazine,99.969,Kessler,0.031,Pryor,0,Porter,0,Sugar_Loaf,0
QAc-G-0216,/TMA,Kessler,78.348,Magazine,21.651,Pryor,0,Sugar_Loaf,0,Porter,0
QAc-G-0217,/TMA,Pryor,99.593,Magazine,0.404,Porter,0.002,Kessler,0.001,Sugar_Loaf,0
QAc-G-0218,/TMA,Pryor,68.961,Magazine,24.804,Kessler,6.234,Sugar_Loaf,0.001,Porter,0
QAc-G-0219,/TMA,Kessler,97.265,Magazine,2.733,Pryor,0.002,Sugar_Loaf,0,Porter,0
QAc-G-0220,/TMA,Kessler,99.991,Pryor,0.007,Magazine,0.002,Sugar_Loaf,0,Porter,0
QAc-G-0221,/TMA,Kessler,98.955,Magazine,1.045,Porter,0,Pryor,0,Sugar_Loaf,0
QAc-G-0222,/TMA,Magazine,99.448,Kessler,0.552,Pryor,0,Porter,0,Sugar_Loaf,0
QAc-G-0223,/TMA,Kessler,99.755,Pryor,0.158,Magazine,0.087,Sugar_Loaf,0,Porter,0
QAc-G-0224,/TMA,Kessler,99.204,Magazine,0.684,Pryor,0.111,Sugar_Loaf,0.001,Porter,0
QAc-G-0226,/TMA,Magazine,99.498,Kessler,0.336,Pryor,0.166,Porter,0,Sugar_Loaf,0
QAc-G-0227,/TMA,Magazine,73.995,Porter,25.992,Pryor,0.013,Kessler,0,Sugar_Loaf,0
QAc-G-0228,/TMA,Magazine,99.883,Kessler,0.113,Sugar_Loaf,0.004,Porter,0,Pryor,0
QAc-G-0229,/TMA,Kessler,99.963,Porter,0.016,Sugar_Loaf,0.012,Pryor,0.008,Magazine,0.001
QAc-G-0230,/TMA,Magazine,66.73,Kessler,26.069,Pryor,7.175,Porter,0.027,Sugar_Loaf,0
QAc-G-0231,/TMA,Kessler,98.873,Pryor,1.127,Magazine,0,Porter,0,Sugar_Loaf,0
QAc-G-0232,/TMA,Kessler,99.716,Porter,0.284,Pryor,0,Sugar_Loaf,0,Magazine,0
QAc-G-0233,/TMA,Kessler,99.428,Pryor,0.394,Magazine,0.178,Porter,0,Sugar_Loaf,0
QAc-G-0234,/TMA,Kessler,76.609,Porter,13.614,Magazine,9.675,Pryor,0.102,Sugar_Loaf,0
QAc-G-0235,/TMA,Pryor,79.083,Magazine,18.323,Kessler,2.592,Sugar_Loaf,0.003,Porter,0
QAc-G-0236,/TMA,Magazine,99.926,Kessler,0.074,Pryor,0,Sugar_Loaf,0,Porter,0
QAc-G-0237,/TMA,Magazine,68.743,Kessler,31.249,Porter,0.004,Pryor,0.003,Sugar_Loaf,0
QAc-G-0238,/TMA,Kessler,99.669,Magazine,0.33,Pryor,0,Sugar_Loaf,0,Porter,0
QAc-G-0239,/TMA,Kessler,99.989,Magazine,0.011,Pryor,0,Porter,0,Sugar_Loaf,0
QAc-G-0240,/TMA,Magazine,82.375,Porter,17.159,Kessler,0.425,Sugar_Loaf,0.04,Pryor,0
QAc-G-0241,/TMA,Kessler,68.694,Magazine,31.303,Pryor,0.002,Sugar_Loaf,0.001,Porter,0
QAc-G-0242,/TMA,Pryor,98.51,Kessler,1.457,Magazine,0.032,Porter,0,Sugar_Loaf,0
QAc-G-0243,/TMA,Magazine,96.476,Kessler,1.962,Porter,1.426,Pryor,0.136,Sugar_Loaf,0
QAc-G-0244,/TMA,Magazine,99.999,Porter,0,Pryor,0,Kessler,0,Sugar_Loaf,0
QAc-G-0245,/TMA,Magazine,99.95,Porter,0.042,Kessler,0.004,Pryor,0.003,Sugar_Loaf,0
QAc-G-0246,/TMA,Magazine,69.572,Kessler,30.423,Pryor,0.004,Porter,0.001,Sugar_Loaf,0
QAc-G-0247,/TMA,Magazine,91.812,Kessler,8.188,Pryor,0.001,Sugar_Loaf,0,Porter,0
QAc-G-0248,/TMA,Magazine,93.374,Kessler,6.626,Sugar_Loaf,0,Pryor,0,Porter,0
QAc-G-0249,/TTA,Kessler,99.925,Magazine,0.073,Sugar_Loaf,0.002,Porter,0,Pryor,0
QAc-G-0025,/USNA,Magazine,99.997,Pryor,0.002,Kessler,0,Porter,0,Sugar_Loaf,0
QAc-G-0028,/USNA,Kessler,99.984,Pryor,0.016,Sugar_Loaf,0,Porter,0,Magazine,0
QAc-G-0275,/UWBG,Kessler,57.263,Pryor,42.523,Magazine,0.214,Sugar_Loaf,0,Porter,0
QAc-G-0263,/ZBPG,Magazine,97.576,Kessler,2.422,Porter,0.002,Sugar_Loaf,0,,0
