Pop,Ind,Sample_Pop,Assign_Pop_1,Percent_1,Assign_Pop_2,Percent_2,Assign_Pop_3,Percent_3,Assign_Pop_4,Percent_4,Assign_Pop_5,Percent_5
/CBG,QAc-G-0286,,Kessler,63.461,Magazine,28.196,Porter,8.34,Sugarloaf,0.002,Pryor,0
/CBG,QAc-G-0287,,Kessler,99.299,Magazine,0.692,Porter,0.009,Pryor,0.001,Sugarloaf,0
/CBG,QAc-G-0288,,Kessler,96.079,Sugarloaf,2.201,Magazine,1.435,Porter,0.285,Pryor,0
/CBG,QAc-G-0292,,Magazine,99.918,Kessler,0.074,Porter,0.008,Sugarloaf,0,Pryor,0
/CBG,QAc-G-0294,,Porter,99.665,Kessler,0.326,Magazine,0.007,Sugarloaf,0.002,Pryor,0
/CBG,QAc-G-0295,,Kessler,93.252,Magazine,6.743,Porter,0.005,Sugarloaf,0.001,Pryor,0
/CBG,QAc-G-0296,,Kessler,99.997,Porter,0.003,Sugarloaf,0,Magazine,0,Pryor,0
/CBG,QAc-G-0297,,Kessler,96.425,Porter,2.284,Magazine,1.041,Pryor,0.247,Sugarloaf,0.003
/CBG,QAc-G-0298,,Magazine,89.695,Kessler,6.196,Porter,3.947,Sugarloaf,0.162,Pryor,0
/CBG,QAc-G-0299,,Porter,97.442,Sugarloaf,1.557,Magazine,0.651,Kessler,0.351,Pryor,0
/CBG,QAc-G-0300,,Porter,85.294,Kessler,7.905,Magazine,6.797,Sugarloaf,0.004,Pryor,0
/CBG,QAc-G-0301,,Kessler,92.398,Porter,7.146,Sugarloaf,0.396,Magazine,0.06,Pryor,0
/CBG,QAc-G-0302,,Porter,92.549,Magazine,6.891,Sugarloaf,0.378,Kessler,0.121,Pryor,0.061
/CBG,QAc-G-0303,,Magazine,100,Pryor,0,Porter,0,Kessler,0,Sugarloaf,0
/CBG,QAc-G-0305,,Magazine,73.821,Porter,19.798,Sugarloaf,6.059,Kessler,0.323,Pryor,0
/CBG,QAc-G-0307,,Magazine,71.336,Kessler,16.876,Porter,11.426,Sugarloaf,0.362,Pryor,0
/CBG,QAc-G-0308,,Kessler,99.879,Porter,0.112,Sugarloaf,0.007,Magazine,0.002,Pryor,0
/CBG,QAc-G-0309,,Porter,46.253,Magazine,38.908,Pryor,13.025,Sugarloaf,1.801,Kessler,0.013
/CBG,QAc-G-0312,,Magazine,99.609,Kessler,0.236,Porter,0.078,Sugarloaf,0.076,Pryor,0
/CBG,QAc-G-0313,,Magazine,99.483,Porter,0.491,Sugarloaf,0.019,Kessler,0.007,Pryor,0
/CBG,QAc-G-0314,,Sugarloaf,79.003,Porter,17.01,Kessler,3.942,Pryor,0.033,Magazine,0.013
/CBG,QAc-G-0315,,Kessler,99.999,Porter,0.001,Sugarloaf,0,Magazine,0,Pryor,0
/CBG,QAc-G-0316,,Kessler,71.509,Magazine,27.135,Porter,1.251,Sugarloaf,0.105,Pryor,0.001
/DBG,QAc-G-0032,Magazine,Magazine,97.103,Kessler,2.897,Pryor,0,Sugarloaf,0,Porter,0
/DBG,QAc-G-0033,Porter,Sugarloaf,98.651,Porter,1.32,Kessler,0.029,Magazine,0.001,Pryor,0
/DBG,QAc-G-0034,Porter,Sugarloaf,73.311,Magazine,24.44,Porter,2.156,Kessler,0.093,Pryor,0
/DBG,QAc-G-0035,Porter,Kessler,90.34,Sugarloaf,9.233,Porter,0.426,Pryor,0,Magazine,0
/DBG,QAc-G-0036,Porter,Kessler,87.397,Sugarloaf,12.6,Porter,0.003,Magazine,0,Pryor,0
/DBG,QAc-G-0037,Porter,Kessler,99.999,Porter,0.001,Magazine,0,Sugarloaf,0,Pryor,0
/DBG,QAc-G-0038,Porter,Kessler,99.067,Porter,0.929,Sugarloaf,0.003,Magazine,0.001,Pryor,0
/DBG,QAc-G-0039,Porter,Porter,99.695,Sugarloaf,0.286,Kessler,0.019,Magazine,0,Pryor,0
/DBG,QAc-G-0040,Porter,Kessler,71.068,Porter,28.922,Sugarloaf,0.009,Magazine,0.001,Pryor,0
