Ind,Botanic_Garden,First_Assign,First_Per,Second_Assign,Second_Per,Third_Assign,Third_Per,Fourth_Assign,Fourth_Per,Fifth_Assign,Fifth_Per
QAc-G-0210,/TMA,Kessler,99.996,Magazine,0.003,Pryor,0,Porter,0,Sugar_Loaf,0
QAc-G-0211,/TMA,Kessler,97.815,Pryor,2.184,Magazine,0.001,Porter,0,Sugar_Loaf,0
QAc-G-0212,/TMA,Pryor,94.403,Magazine,5.425,Porter,0.164,Kessler,0.008,Sugar_Loaf,0
QAc-G-0213,/TMA,Kessler,100,Magazine,0,Pryor,0,Porter,0,Sugar_Loaf,0
QAc-G-0214,/TMA,Pryor,98.353,Porter,1.176,Magazine,0.388,Kessler,0.084,Sugar_Loaf,0
QAc-G-0215,/TMA,Magazine,63.127,Kessler,31.296,Pryor,5.573,Sugar_Loaf,0.004,Porter,0
QAc-G-0216,/TMA,Kessler,99.998,Magazine,0.002,Porter,0,Pryor,0,Sugar_Loaf,0
QAc-G-0217,/TMA,Kessler,66.524,Pryor,33.471,Magazine,0.004,Porter,0.001,Sugar_Loaf,0
QAc-G-0218,/TMA,Magazine,99.989,Kessler,0.01,Pryor,0.001,Porter,0,Sugar_Loaf,0
QAc-G-0219,/TMA,Kessler,99.653,Magazine,0.347,Pryor,0,Porter,0,Sugar_Loaf,0
QAc-G-0220,/TMA,Kessler,100,Magazine,0,Pryor,0,Porter,0,Sugar_Loaf,0
QAc-G-0221,/TMA,Kessler,100,Magazine,0,Pryor,0,Sugar_Loaf,0,Porter,0
QAc-G-0222,/TMA,Kessler,98.129,Pryor,0.984,Magazine,0.886,Porter,0,Sugar_Loaf,0
QAc-G-0223,/TMA,Kessler,100,Magazine,0,Pryor,0,Porter,0,Sugar_Loaf,0
QAc-G-0224,/TMA,Kessler,98.856,Magazine,1.137,Pryor,0.007,Porter,0,Sugar_Loaf,0
QAc-G-0226,/TMA,Kessler,96.253,Pryor,3.744,Magazine,0.003,Porter,0,Sugar_Loaf,0
QAc-G-0227,/TMA,Porter,99.996,Magazine,0.002,Pryor,0.001,Kessler,0.001,Sugar_Loaf,0
QAc-G-0228,/TMA,Magazine,99.935,Kessler,0.056,Sugar_Loaf,0.006,Porter,0.003,Pryor,0
QAc-G-0229,/TMA,Kessler,99.734,Porter,0.266,Magazine,0,Sugar_Loaf,0,Pryor,0
QAc-G-0230,/TMA,Magazine,71.385,Pryor,19.711,Kessler,7.757,Porter,1.097,Sugar_Loaf,0.05
QAc-G-0231,/TMA,Kessler,93.98,Magazine,4.392,Pryor,1.616,Porter,0.012,Sugar_Loaf,0
QAc-G-0232,/TMA,Kessler,99.996,Porter,0.004,Sugar_Loaf,0,Pryor,0,Magazine,0
QAc-G-0233,/TMA,Magazine,84.988,Pryor,15.006,Kessler,0.006,Sugar_Loaf,0,Porter,0
QAc-G-0234,/TMA,Porter,97.868,Kessler,2.106,Pryor,0.025,Sugar_Loaf,0,Magazine,0
QAc-G-0235,/TMA,Kessler,99.741,Pryor,0.257,Magazine,0.002,Sugar_Loaf,0,Porter,0
QAc-G-0236,/TMA,Kessler,67.981,Magazine,32.017,Sugar_Loaf,0.001,Pryor,0,Porter,0
QAc-G-0237,/TMA,Kessler,98.457,Porter,1.122,Magazine,0.396,Pryor,0.017,Sugar_Loaf,0.007
QAc-G-0238,/TMA,Kessler,99.994,Magazine,0.006,Pryor,0,Porter,0,Sugar_Loaf,0
QAc-G-0239,/TMA,Kessler,99.966,Magazine,0.034,Sugar_Loaf,0,Porter,0,Pryor,0
QAc-G-0240,/TMA,Kessler,76.782,Magazine,13.269,Porter,7.756,Sugar_Loaf,2.194,Pryor,0
QAc-G-0241,/TMA,Kessler,88.587,Magazine,11.407,Porter,0.006,Pryor,0.001,Sugar_Loaf,0
QAc-G-0242,/TMA,Pryor,99.359,Magazine,0.637,Porter,0.004,Kessler,0,Sugar_Loaf,0
QAc-G-0243,/TMA,Porter,44.864,Magazine,27.98,Pryor,26.94,Kessler,0.215,Sugar_Loaf,0.001
QAc-G-0244,/TMA,Magazine,98.646,Porter,1.349,Kessler,0.005,Pryor,0,Sugar_Loaf,0
QAc-G-0245,/TMA,Magazine,59.143,Kessler,40.039,Porter,0.546,Sugar_Loaf,0.271,Pryor,0
QAc-G-0246,/TMA,Magazine,99.939,Kessler,0.061,Porter,0,Pryor,0,Sugar_Loaf,0
QAc-G-0247,/TMA,Magazine,98.313,Kessler,1.687,Sugar_Loaf,0,Porter,0,Pryor,0
QAc-G-0248,/TMA,Kessler,100,Magazine,0,Porter,0,Sugar_Loaf,0,Pryor,0
QAc-G-0249,/TTA,Kessler,99.977,Magazine,0.016,Porter,0.006,Sugar_Loaf,0,Pryor,0
QAc-G-0025,/USNA,Pryor,70.895,Kessler,23.064,Magazine,6.038,Porter,0.003,Sugar_Loaf,0
QAc-G-0028,/USNA,Pryor,99.999,Kessler,0.001,Porter,0,Magazine,0,Sugar_Loaf,0
QAc-G-0275,/UWBG,Magazine,74.042,Kessler,24.124,Pryor,1.834,Porter,0,Sugar_Loaf,0
QAc-G-0263,/ZBPG,Magazine,98.835,Kessler,1.164,Sugar_Loaf,0.001,Pryor,0,Porter,0
