Ind,Pop,Sample_Pop
QAc-G-0142,/TMA,Magazine
QAc-G-0143,/TMA,Magazine
QAc-G-0144,/TMA,Magazine
QAc-G-0145,/TMA,Magazine
QAc-G-0146,/TMA,Magazine
QAc-G-0147,/TMA,Magazine
QAc-G-0148,/TMA,Magazine
QAc-G-0149,/TMA,Magazine
QAc-G-0150,/TMA,Magazine
QAc-G-0151,/TMA,Magazine
QAc-G-0152,/TMA,Magazine
QAc-G-0153,/TMA,Magazine
QAc-G-0154,/TMA,Magazine
QAc-G-0155,/TMA,Magazine
QAc-G-0158,/TMA,Magazine
QAc-G-0159,/TMA,Magazine
QAc-G-0160,/TMA,Magazine
QAc-G-0161,/TMA,Magazine
QAc-G-0162,/TMA,Magazine
QAc-G-0163,/TMA,Magazine
QAc-G-0164,/TMA,Magazine
QAc-G-0165,/TMA,Magazine
QAc-G-0166,/TMA,Magazine
QAc-G-0167,/TMA,Magazine
QAc-G-0168,/TMA,Magazine
QAc-G-0169,/TMA,Magazine
QAc-G-0170,/TMA,Magazine
QAc-G-0171,/TMA,Magazine
QAc-G-0172,/TMA,Magazine
QAc-G-0173,/TMA,Magazine
QAc-G-0174,/TMA,Magazine
QAc-G-0175,/TMA,Magazine
QAc-G-0176,/TMA,Magazine
QAc-G-0177,/TMA,Magazine
QAc-G-0178,/TMA,Magazine
QAc-G-0179,/TMA,Magazine
QAc-G-0180,/TMA,Magazine
QAc-G-0181,/TMA,Magazine
QAc-G-0182,/TMA,Magazine
QAc-G-0183,/TMA,Magazine
QAc-G-0184,/TMA,Magazine
QAc-G-0185,/TMA,Magazine
QAc-G-0186,/TMA,Magazine
QAc-G-0187,/TMA,Magazine
QAc-G-0188,/TMA,Magazine
QAc-G-0189,/TMA,Magazine
QAc-G-0190,/TMA,Magazine
QAc-G-0191,/TMA,Magazine
QAc-G-0192,/TMA,Magazine
QAc-G-0193,/TMA,Magazine
QAc-G-0194,/TMA,Magazine
QAc-G-0195,/TMA,Magazine
QAc-G-0196,/TMA,Magazine
QAc-G-0197,/TMA,Magazine
QAc-G-0198,/TMA,Magazine
QAc-G-0199,/TMA,Magazine
QAc-G-0200,/TMA,Magazine
QAc-G-0201,/TMA,Magazine
QAc-G-0202,/TMA,Magazine
QAc-G-0203,/TMA,Magazine
QAc-G-0204,/TMA,Pryor
QAc-G-0205,/TMA,Pryor
QAc-G-0206,/TMA,Pryor
QAc-G-0207,/TMA,Pryor
QAc-G-0208,/TMA,Pryor
QAc-G-0209,/TMA,Pryor
QAc-G-0210,/TMA,Pryor
QAc-G-0211,/TMA,Pryor
QAc-G-0212,/TMA,Pryor
QAc-G-0213,/TMA,Pryor
QAc-G-0214,/TMA,Pryor
QAc-G-0215,/TMA,Pryor
QAc-G-0216,/TMA,Pryor
QAc-G-0217,/TMA,Pryor
QAc-G-0218,/TMA,Pryor
QAc-G-0219,/TMA,Pryor
QAc-G-0220,/TMA,Pryor
QAc-G-0221,/TMA,Pryor
QAc-G-0222,/TMA,Pryor
QAc-G-0223,/TMA,Pryor
QAc-G-0224,/TMA,Pryor
QAc-G-0226,/TMA,Porter
QAc-G-0227,/TMA,Porter
QAc-G-0228,/TMA,Porter
QAc-G-0229,/TMA,Porter
QAc-G-0230,/TMA,Porter
QAc-G-0231,/TMA,Porter
QAc-G-0232,/TMA,Porter
QAc-G-0233,/TMA,Porter
QAc-G-0234,/TMA,Porter
QAc-G-0235,/TMA,Porter
QAc-G-0236,/TMA,Porter
QAc-G-0237,/TMA,Porter
QAc-G-0238,/TMA,Porter
QAc-G-0239,/TMA,Porter
QAc-G-0240,/TMA,Porter
QAc-G-0241,/TMA,Porter
QAc-G-0242,/TMA,Porter
QAc-G-0243,/TMA,Porter
QAc-G-0244,/TMA,Porter
QAc-G-0245,/TMA,Porter
QAc-G-0246,/TMA,Porter
QAc-G-0247,/TMA,Porter
QAc-G-0248,/TMA,NONE
QAc-G-0249,/Trompenburg,NONE
QAc-G-0025,/USNONE,Magazine
QAc-G-0028,/USNONE,NONE
QAc-G-0275,/UWBG,Pryor
QAc-G-0263,/Plze?,NONE
