,,,rank,score,,rank,score,,rank,score,,rank,score,,rank,score,,Porter,Magazine,Pryor,SL,Kessler,Nb. of loci,Used loci,Missing loci
,Assigned sample,,1,%,,2,%,,3,%,,4,%,,5,%,,'-log(L),'-log(L),'-log(L),'-log(L),'-log(L),,,
QAc-G-0073,/Arnold,Porter Mountain Area,Kessler,99.907,,Porter,0.093,,SL,0,,Magazine,0,,Pryor,0,,34.232,39.286,42.538,36.585,31.2,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0074,/Arnold,Porter Mountain Area,Porter,97.906,,Kessler,2.088,,SL,0.006,,Pryor,0.001,,Magazine,0,,27.85,34.411,33.068,32.061,29.521,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0075,/Arnold,Porter Mountain Area,SL,94.026,,Magazine,4.821,,Kessler,0.595,,Porter,0.558,,Pryor,0,,32.665,31.729,37.434,30.438,32.637,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0076,/Arnold,Porter Mountain Area,Porter,99.961,,Magazine,0.036,,Kessler,0.003,,SL,0,,Pryor,0,,32.735,36.182,44.848,40.074,37.194,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0080,/Arnold,Southeast of Pryor,Kessler,83.522,,Pryor,11.566,,Magazine,4.91,,SL,0.002,,Porter,0,,44.741,39.458,39.086,42.857,38.227,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0081,/Arnold,"Sugarloaf Mountain, Rim of east facing bluff and adjacent glade-like area on lookout",Kessler,54.725,,SL,39.986,,Porter,5.148,,Magazine,0.141,,Pryor,0,,36.798,38.361,41.401,35.908,35.771,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0082,/Arnold,"Sugarloaf Mountain, Rim of east facing bluff and adjacent glade-like area on lookout",Kessler,91.592,,Magazine,8.407,,SL,0.001,,Pryor,0,,Porter,0,,43.239,33.013,40.251,37.059,31.976,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0083,/Arnold,"Sugarloaf Mountain, Rim of east facing bluff and adjacent glade-like area on lookout",Porter,95.306,,Magazine,4.591,,Kessler,0.103,,Pryor,0,,SL,0,,26.798,28.116,32.762,35.157,29.765,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0001,/Bartlett,,Porter,78.298,,Magazine,21.626,,Pryor,0.075,,Kessler,0.002,,SL,0,,27.321,27.88,30.342,36.125,31.986,13, G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 0C11 - 1  1G13 - 1  
QAc-G-0285,/CBG,,Magazine,99.974,,Porter,0.018,,Kessler,0.007,,Pryor,0.001,,SL,0,,30.201,26.446,31.634,34.624,30.574,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0286,/CBG,,Kessler,63.461,,Magazine,28.196,,Porter,8.34,,SL,0.002,,Pryor,0,,31.524,30.995,36.357,35.075,30.642,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0287,/CBG,,Kessler,99.299,,Magazine,0.692,,Porter,0.009,,Pryor,0.001,,SL,0,,36.085,34.2,37.324,38.952,32.043,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0288,/CBG,,Kessler,96.079,,SL,2.201,,Magazine,1.435,,Porter,0.285,,Pryor,0,,34.044,33.341,39.233,33.155,31.515,14, 0C11 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 1G13 - 1  
QAc-G-0292,/CBG,,Magazine,99.918,,Kessler,0.074,,Porter,0.008,,SL,0,,Pryor,0,,31.668,27.57,35.953,33.331,30.702,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0294,/CBG,,Porter,99.665,,Kessler,0.326,,Magazine,0.007,,SL,0.002,,Pryor,0,,31.316,35.463,42.361,36.127,33.8,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0295,/CBG,,Kessler,93.252,,Magazine,6.743,,Porter,0.005,,SL,0.001,,Pryor,0,,35.554,32.393,37.371,36.309,31.252,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0296,/CBG,,Kessler,99.997,,Porter,0.003,,SL,0,,Magazine,0,,Pryor,0,,34.082,36.727,41.964,35.52,29.541,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0297,/CBG,,Kessler,96.425,,Porter,2.284,,Magazine,1.041,,Pryor,0.247,,SL,0.003,,35.828,36.169,36.794,38.717,34.202,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0298,/CBG,,Magazine,89.695,,Kessler,6.196,,Porter,3.947,,SL,0.162,,Pryor,0,,29.423,28.066,36.562,30.81,29.227,14, 0C11 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 1G13 - 1  
QAc-G-0299,/CBG,,Porter,97.442,,SL,1.557,,Magazine,0.651,,Kessler,0.351,,Pryor,0,,31.392,33.567,37.773,33.188,33.835,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0300,/CBG,,Porter,85.294,,Kessler,7.905,,Magazine,6.797,,SL,0.004,,Pryor,0,,31.607,32.706,37.44,35.965,32.64,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0301,/CBG,,Kessler,92.398,,Porter,7.146,,SL,0.396,,Magazine,0.06,,Pryor,0,,33.115,35.188,39.286,34.371,32.004,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0302,/CBG,,Porter,92.549,,Magazine,6.891,,SL,0.378,,Kessler,0.121,,Pryor,0.061,,32.559,33.687,35.742,34.948,35.443,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0303,/CBG,,Magazine,100,,Pryor,0,,Porter,0,,Kessler,0,,SL,0,,39.074,32.399,37.729,40.965,40.508,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0305,/CBG,,Magazine,73.821,,Porter,19.798,,SL,6.059,,Kessler,0.323,,Pryor,0,,32.27,31.699,40.503,32.785,34.058,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0307,/CBG,,Magazine,71.336,,Kessler,16.876,,Porter,11.426,,SL,0.362,,Pryor,0,,33.975,33.179,39.38,35.474,33.806,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0308,/CBG,,Kessler,99.879,,Porter,0.112,,SL,0.007,,Magazine,0.002,,Pryor,0,,37.662,39.347,42.016,38.895,34.711,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0309,/CBG,,Porter,46.253,,Magazine,38.908,,Pryor,13.025,,SL,1.801,,Kessler,0.013,,34.201,34.276,34.751,35.61,37.769,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0312,/CBG,,Magazine,99.609,,Kessler,0.236,,Porter,0.078,,SL,0.076,,Pryor,0,,36.681,33.577,44.126,36.692,36.202,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
