,,,rank,score,,rank,score,,rank,score,,rank,score,,rank,score,,Porter,Magazine,Pryor,SL,Kessler,Nb. of loci,Used loci,Missing loci
,Assigned sample,,1,%,,2,%,,3,%,,4,%,,5,%,,'-log(L),'-log(L),'-log(L),'-log(L),'-log(L),,,
QAc-G-0045,/DBG,Porter Mtn,Porter,98.269,,Kessler,1.477,,SL,0.237,,Magazine,0.017,,Pryor,0,,31.1,34.86,39.917,33.718,32.924,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0049,/DBG,Pryor Mtn,Magazine,97.538,,Porter,2.458,,SL,0.003,,Pryor,0.001,,Kessler,0.001,,33.497,31.898,36.874,36.424,36.923,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0050,/DBG,Pryor Mtn,Magazine,99.992,,Porter,0.008,,Kessler,0,,Pryor,0,,SL,0,,34.131,30.055,39.751,40.674,37.891,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0052,/DBG,Pryor Mtn,Magazine,92.804,,Kessler,7.195,,SL,0,,Porter,0,,Pryor,0,,39.649,34.213,44.131,39.574,35.324,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0053,/DBG,Pryor Mtn,Kessler,99.876,,SL,0.123,,Porter,0.001,,Magazine,0,,Pryor,0,,43.596,43.945,44.212,41.331,38.42,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0054,/DBG,Pryor Mtn,Kessler,99.998,,SL,0.002,,Porter,0,,Pryor,0,,Magazine,0,,43.105,45.143,43.519,42.122,37.382,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0056,/DBG,Pryor Mtn,Kessler,96.529,,Porter,2.804,,Magazine,0.657,,SL,0.011,,Pryor,0,,36.24,36.87,46.485,38.666,34.703,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0276,/FGT,Magazine,Kessler,99.449,,Porter,0.549,,Magazine,0.001,,SL,0,,Pryor,0,,35.201,37.79,41.122,39.346,32.943,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0279,/FGT,Porter Mountain,Kessler,78.706,,Porter,13.671,,Magazine,7.484,,SL,0.138,,Pryor,0,,33.638,33.9,40.12,35.633,32.878,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0280,/FGT,Porter Mountain,Kessler,68.401,,Porter,30.766,,Magazine,0.833,,SL,0,,Pryor,0,,27.209,28.776,36.848,34.942,26.862,14, 0C11 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 1G13 - 1  
QAc-G-0281,/FGT,Pryor,Pryor,64.559,,Porter,35.424,,Kessler,0.012,,Magazine,0.005,,SL,0,,37.126,40.983,36.865,43.224,40.583,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0018,/HBG,Porter,Magazine,98.638,,Porter,1.117,,Kessler,0.244,,SL,0,,Pryor,0,,34.975,33.029,40.285,38.641,35.635,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0019,/HBG,Porter,Kessler,54.536,,Magazine,41.321,,Porter,3.022,,SL,1.122,,Pryor,0,,34.678,33.542,39.388,35.109,33.422,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0020,/HBG,Porter,Kessler,99.996,,Porter,0.004,,SL,0,,Magazine,0,,Pryor,0,,34.628,40.507,43.44,38.135,30.2,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0021,/HBG,Pryor,Porter,99.946,,Kessler,0.054,,Magazine,0,,SL,0,,Pryor,0,,28.079,35.565,37.644,35.578,31.347,14, 0C11 - 1  1G13 - 1  G07 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 1F02 - 1  
QAc-G-0023,/HBG,Pryor,Pryor,99.98,,SL,0.012,,Magazine,0.005,,Porter,0.002,,Kessler,0.001,,38.482,38.039,33.721,37.65,38.606,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0016,/HBG,Porter,Magazine,99.347,,Kessler,0.588,,SL,0.065,,Porter,0.001,,Pryor,0,,40.253,35.05,41.886,38.234,37.278,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0017,/HBG,Porter,Magazine,99.984,,Porter,0.015,,SL,0.001,,Pryor,0,,Kessler,0,,32.122,28.309,34.185,33.589,34.471,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0250,/Meis,,Porter,66.576,,Kessler,33.422,,Magazine,0.002,,SL,0,,Pryor,0,,29.646,34.198,40.477,39.75,29.946,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0003,/MBG,,Magazine,67.404,,Porter,18.705,,Kessler,13.888,,SL,0.002,,Pryor,0,,28.683,28.126,36.576,32.57,28.812,14, 0C11 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 1G13 - 1  
QAc-G-0004,/MBG,,Magazine,100,,Pryor,0,,Kessler,0,,SL,0,,Porter,0,,38.936,27.725,36.464,37.767,37.649,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0005,/MBG,,Magazine,99.999,,Porter,0.001,,Kessler,0,,SL,0,,Pryor,0,,39.477,34.196,42.657,42.551,39.914,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0006,/MBG,,Magazine,99.652,,Kessler,0.348,,Pryor,0,,Porter,0,,SL,0,,36.236,27.028,36.055,37.451,29.485,14, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , FIR043 - 1  
QAc-G-0283,/Moore,,Kessler,99.997,,SL,0.003,,Magazine,0,,Pryor,0,,Porter,0,,37.541,34.205,34.789,33.314,28.75,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0265,/MA,Pryor,SL,50.21,,Magazine,47.928,,Porter,1.575,,Kessler,0.287,,Pryor,0.001,,29.651,28.167,33.02,28.147,30.389,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0266,/MA,Pryor,Magazine,99.631,,Porter,0.263,,SL,0.068,,Kessler,0.032,,Pryor,0.006,,37.808,35.229,39.46,38.395,38.726,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0267,/MA,Magazine,Magazine,83.655,,Kessler,12.641,,Porter,3.704,,Pryor,0,,SL,0,,31.081,29.727,37.153,38.26,30.548,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0268,/MA,Magazine,Magazine,90.862,,Porter,7.226,,Kessler,1.912,,Pryor,0,,SL,0,,29.187,28.088,35.162,38.586,29.765,12, 0C11 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  , 1G13 - 1  FIR013 - 1  QpZAG9 - 1  
QAc-G-0269,/MA,Magazine,Kessler,98.529,,Magazine,1.464,,Porter,0.007,,SL,0,,Pryor,0,,35.95,33.651,40.607,37.29,31.823,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0270,/MA,Porter,Kessler,55.281,,Porter,26.579,,SL,18.13,,Magazine,0.011,,Pryor,0,,32.609,35.992,40.508,32.775,32.291,14, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  QpZAG9 - 1  , PIE125 - 1  
QAc-G-0271,/MA,Porter,Porter,99.999,,SL,0.001,,Magazine,0,,Kessler,0,,Pryor,0,,29.403,34.911,36.584,34.428,36.411,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0273,/MA,Magazine,Porter,50.853,,Magazine,49.142,,Pryor,0.005,,SL,0,,Kessler,0,,32.778,32.793,36.778,38.244,39.081,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0274,/MA,Pryor ,Magazine,88.291,,Porter,11.709,,Kessler,0,,SL,0,,Pryor,0,,35.067,34.189,43.1,42.082,39.689,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0251,/Peckerwood,Porter,SL,97.864,,Kessler,1.726,,Magazine,0.409,,Porter,0,,Pryor,0,,34.892,31.963,40.94,29.584,31.337,14, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  QpZAG9 - 1  , PIE125 - 1  
QAc-G-0252,/Peckerwood,Porter,Kessler,98.669,,Porter,0.765,,SL,0.566,,Magazine,0,,Pryor,0,,31.664,35.228,38.607,31.795,29.554,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0253,/Peckerwood,Pryor,Kessler,89.552,,Magazine,10.443,,Pryor,0.004,,Porter,0.002,,SL,0,,41.599,37.773,41.243,43.56,36.84,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0254,/Peckerwood,Pryor,Porter,91.801,,Magazine,7.214,,Pryor,0.703,,SL,0.175,,Kessler,0.107,,36.778,37.883,38.894,39.498,39.711,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0255,/Peckerwood,Magazine,Porter,71.302,,Magazine,14.829,,Pryor,12.422,,SL,1.188,,Kessler,0.259,,32.619,33.301,33.378,34.397,35.058,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0256,/Peckerwood,Magazine,Magazine,99.988,,Porter,0.011,,Pryor,0.001,,SL,0,,Kessler,0,,36.236,32.286,37.535,37.794,39.169,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0257,/Peckerwood,Magazine,Magazine,99.999,,SL,0,,Kessler,0,,Porter,0,,Pryor,0,,38.966,31.593,40.576,36.957,37.778,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0259,/Peckerwood,Magazine,Kessler,100,,SL,0,,Pryor,0,,Magazine,0,,Porter,0,,44.568,44.443,42.234,41.223,34.079,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0260,/Peckerwood,Magazine,Kessler,99.99,,Porter,0.007,,Magazine,0.003,,Pryor,0,,SL,0,,37.711,38.141,39.022,41.211,33.553,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0261,/Peckerwood,Magazine,Magazine,99.999,,Porter,0.001,,Kessler,0,,Pryor,0,,SL,0,,40.627,35.45,45.281,45.905,42.668,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0010,/TMA,,Magazine,93.068,,Kessler,6.706,,Porter,0.137,,SL,0.089,,Pryor,0,,33.723,30.891,37.083,33.908,32.034,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0011,/TMA,,Kessler,98.565,,SL,1.131,,Porter,0.2,,Magazine,0.085,,Pryor,0.019,,39.945,40.314,40.976,39.192,37.252,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0015,/TMA,,Magazine,60.827,,SL,38.887,,Porter,0.281,,Pryor,0.005,,Kessler,0,,35.169,32.835,36.947,33.029,38.879,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0106,/TMA,,Magazine,92.514,,Kessler,7.417,,Porter,0.069,,Pryor,0,,SL,0,,38.444,35.314,40.787,41.954,36.41,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0109,/TMA,Magazine,Magazine,100,,SL,0,,Pryor,0,,Porter,0,,Kessler,0,,38.068,28.051,37.405,35.933,39.241,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0111,/TMA,Magazine,Magazine,100,,Kessler,0,,Pryor,0,,Porter,0,,SL,0,,38.424,30.059,37.482,38.599,36.184,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0114,/TMA,Magazine,Magazine,100,,Kessler,0,,Pryor,0,,Porter,0,,SL,0,,37.869,26.385,36.476,38.972,35.222,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0115,/TMA,Magazine,Magazine,99.996,,Pryor,0.004,,Kessler,0,,Porter,0,,SL,0,,42.976,33.94,38.39,43.437,39.895,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0117,/TMA,Magazine,Porter,54.989,,Magazine,45.011,,SL,0,,Kessler,0,,Pryor,0,,26.985,27.072,39.293,32.597,35.619,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0120,/TMA,Magazine,Magazine,89.584,,Porter,9.395,,SL,0.855,,Kessler,0.167,,Pryor,0,,32.981,32.002,39.17,34.022,34.732,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0121,/TMA,Magazine,Magazine,99.999,,Porter,0.001,,Pryor,0,,Kessler,0,,SL,0,,36.114,31.043,37.515,40.153,37.852,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0122,/TMA,Magazine,Porter,96.27,,Magazine,3.722,,Kessler,0.008,,Pryor,0,,SL,0,,29.48,30.892,36.773,38.483,33.575,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0125,/TMA,Magazine,Magazine,100,,Pryor,0,,Porter,0,,Kessler,0,,SL,0,,36.538,29.545,36.183,42.18,37.725,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0126,/TMA,Magazine,Magazine,99.964,,Porter,0.036,,Kessler,0,,Pryor,0,,SL,0,,32.431,28.99,38.033,38.683,36.469,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0127,/TMA,Magazine,Porter,74.458,,Magazine,25.542,,Kessler,0,,Pryor,0,,SL,0,,34.121,34.586,41.707,42.438,41.401,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0137,/TMA,Magazine,Magazine,100,,Porter,0,,Pryor,0,,Kessler,0,,SL,0,,35.6,24.342,35.91,38.196,35.972,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0141,/TMA,Magazine,Kessler,92.662,,SL,6.828,,Porter,0.51,,Pryor,0,,Magazine,0,,34.581,39.818,38.949,33.454,32.322,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0143,/TMA,Magazine,Kessler,77.559,,Porter,18.382,,SL,3.184,,Magazine,0.839,,Pryor,0.037,,38.879,40.219,41.576,39.64,38.253,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0145,/TMA,Magazine,Kessler,99.405,,Porter,0.319,,Magazine,0.273,,SL,0.003,,Pryor,0,,32.71,32.779,38.178,34.778,30.217,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0147,/TMA,Magazine,SL,99.842,,Magazine,0.154,,Porter,0.003,,Kessler,0.001,,Pryor,0,,29.996,28.325,36.367,25.513,30.555,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
