Ind,Garden,Sampled From,#1,,,,,,,,,,,,,,,,,,,,,,
QAc-G-0071,/Arnold,Southeast of Magazine Mountain,Kessler,68.333,,Magazine,30.697,,Porter,0.966,,Pryor,0.003,,SL,0,,35.047,33.544,37.527,38.751,33.197,13, 0C11 - 1  1G13 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , G07 - 1  1F02 - 1  
QAc-G-0072,/Arnold,Southeast of Magazine Mountain,Magazine,89.087,,Porter,10.832,,Pryor,0.077,,Kessler,0.003,,SL,0,,35.707,34.792,37.853,46.183,39.215,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0073,/Arnold,Porter Mountain Area,Kessler,99.998,,Magazine,0.002,,Porter,0,,SL,0,,Pryor,0,,46.253,44.309,48.454,47.031,39.665,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0074,/Arnold,Porter Mountain Area,Porter,99.822,,Pryor,0.136,,Kessler,0.042,,SL,0,,Magazine,0,,32.56,39.881,35.427,39.246,35.931,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0075,/Arnold,Porter Mountain Area,Kessler,98.071,,Magazine,1.267,,Porter,0.506,,SL,0.157,,Pryor,0,,37.004,36.605,43.705,37.513,34.717,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0076,/Arnold,Porter Mountain Area,Kessler,97.853,,Magazine,2.093,,Porter,0.054,,SL,0,,Pryor,0,,42.369,40.781,47.125,45.679,39.111,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0077,/Arnold,Southeast of Pryor Mountain,Magazine,99.981,,Kessler,0.018,,Pryor,0.001,,Porter,0,,SL,0,,45.717,37.533,42.698,53.159,41.27,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0078,/Arnold,Southeast of Pryor Mountain,Kessler,57.796,,Pryor,41.689,,Magazine,0.515,,Porter,0,,SL,0,,45.92,42.797,40.888,50.401,40.747,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0079,/Arnold,Southeast of Pryor Mountain,Kessler,94.875,,Pryor,5.03,,Magazine,0.094,,Porter,0,,SL,0,,43.358,39.913,38.187,47.363,36.911,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0080,/Arnold,Southeast of Pryor Mountain,Kessler,100,,Pryor,0,,Magazine,0,,SL,0,,Porter,0,,51.431,46.244,42.124,50.546,36.606,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0081,/Arnold,"Sugarloaf Mountain, Rim of east facing bluff and adjacent glade-like area on lookout",Magazine,95.457,,SL,4.396,,Kessler,0.147,,Pryor,0,,Porter,0,,46.323,40.018,46.13,41.354,42.831,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
