"","global","glob_v_com","glob_com","glob_lowfr","glob_rare","reg_rare","loc_com_d1","loc_com_d2","loc_rare"
"N Ind for 95% (All Alleles)",96,8,15,58,148,NA,NA,NA,NA
"N Ind for 95% (Rare Alleles Dropped)",56,8,15,58,108,NA,NA,NA,NA
