"","Number of Alleles","Allelic Richness","Expected Heterozygosity"
"Garden",175,5.08,0.615
"PorterMountain_W",94,4.14,0.548
"MagazineMountain_W",95,4.57,0.573
"PryorMountain_W",83,3.96,0.528
"Sugar_Loaf_Mountains_W",99,4.28,0.557
"Kessler_Mountain_W",74,4.93,0.628
