"","Number of Alleles","Allelic Richness","Expected Heterozygosity"
"PorterMountain_W",34,4.86,0.659
"MagazineMountain_W",36,5.3,0.655
"PryorMountain_W",35,5.04,0.624
"Sugar_Loaf_Mountains_W",39,4.9,0.64
"Kessler_Mountain_W",27,5.4,0.66
