"","Number of Alleles","Allelic Richness","Expected Heterozygosity"
"PorterMountain",60,3.78,0.493
"MagazineMountain",59,4.2,0.532
"PryorMountain",48,3.41,0.48
"SugarLoafMountains",60,3.96,0.516
"KesslerMountain",47,4.7,0.612
