"","Assign_25%","Assign_50%","Assign_75%","Assign_95%"
"WildPops",100,98.6301369863014,81.5068493150685,55.4794520547945
"SixPops",100,95.2054794520548,80.8219178082192,55.4794520547945
"ThreePops",100,97.9452054794521,88.3561643835616,71.9178082191781
