Ind,Garden,First_Assign,Sample_Pop,First_Per,,2,%,,3,%,,4,%,,'-log(L),'-log(L),'-log(L),'-log(L),,,
QAc-G-0073,/Arnold,Magazine,Porter,98.363,,Porter,0.775,,Pryor,0.62,,Sugarloaf,0.243,,48.57,46.466,48.667,49.074,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0074,/Arnold,Magazine,Porter,87.07,,Pryor,12.731,,Porter,0.198,,Sugarloaf,0.001,,41.35,38.706,39.541,43.491,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0075,/Arnold,Magazine,Porter,99.999,,Sugarloaf,0.001,,Porter,0,,Pryor,0,,42.702,35.719,43.672,40.719,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0076,/Arnold,Porter,Porter,52.9,,Magazine,47.1,,Sugarloaf,0,,Pryor,0,,44.604,44.654,52.099,51.052,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0077,/Arnold,Magazine,Porter,95.984,,Pryor,4.015,,Porter,0,,Sugarloaf,0,,47.097,41.805,43.184,52.75,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0078,/Arnold,Pryor,Porter,99.852,,Porter,0.146,,Magazine,0.002,,Sugarloaf,0,,44.802,46.587,41.966,51.163,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0079,/Arnold,Pryor,Porter,99.734,,Porter,0.266,,Magazine,0,,Sugarloaf,0,,40.981,44.481,38.406,49.294,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0080,/Arnold,Pryor,Porter,100,,Magazine,0,,Sugarloaf,0,,Porter,0,,50.936,47.15,41.582,47.909,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0081,/Arnold,Magazine,Sugarloaf,94.796,,Porter,5.202,,Sugarloaf,0.001,,Pryor,0,,44.218,42.957,49.47,47.772,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0082,/Arnold,Magazine,Sugarloaf,99.588,,Pryor,0.287,,Porter,0.121,,Sugarloaf,0.004,,44.829,41.913,44.454,46.267,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
