Assigned sample,Ind,Sample_Pop,Assign_Pop_1,Percent_1,Assign_Pop_2,Percent_2,Assign_Pop_3,Percent_3,Assign_Pop_4,Percent_4,Assign_Pop_5,Percent_5
/DBG,QAc-G-0034,Porter,Magazine1,61.661,Sugarloaf,34.023,Magazine2,3.272,Porter,1,Kessler,0.043
/DBG,QAc-G-0035,Porter,Kessler,89.795,Sugarloaf,9.178,Magazine1,0.603,Porter,0.424,Pryor,0
/DBG,QAc-G-0036,Porter,Kessler,87.381,Sugarloaf,12.597,Magazine1,0.016,Porter,0.003,Magazine2,0.002
/DBG,QAc-G-0037,Porter,Kessler,99.999,Porter,0.001,Magazine1,0,Magazine2,0,Sugarloaf,0
/DBG,QAc-G-0038,Porter,Kessler,99.064,Porter,0.929,Sugarloaf,0.003,Magazine1,0.003,Magazine2,0.001
/DBG,QAc-G-0039,Porter,Porter,99.693,Sugarloaf,0.286,Kessler,0.019,Magazine2,0.003,Magazine1,0
/DBG,QAc-G-0040,Porter,Kessler,70.323,Porter,28.619,Magazine1,1.05,Sugarloaf,0.009,Magazine2,0
/DBG,QAc-G-0045,Porter,Porter,84.109,Magazine1,14.413,Kessler,1.264,Sugarloaf,0.203,Magazine2,0.012
/DBG,QAc-G-0049,Pryor,Magazine1,90.606,Magazine2,5.557,Porter,3.829,Sugarloaf,0.005,Pryor,0.002
/DBG,QAc-G-0050,Pryor,Magazine1,99.98,Porter,0.02,Kessler,0,Magazine2,0,Pryor,0
/DBG,QAc-G-0052,Pryor,Magazine2,86.419,Magazine1,10.635,Kessler,2.946,Sugarloaf,0,Porter,0
/DBG,QAc-G-0053,Pryor,Kessler,99.146,Magazine2,0.485,Magazine1,0.246,Sugarloaf,0.122,Porter,0.001
/DBG,QAc-G-0054,Pryor,Kessler,99.998,Sugarloaf,0.002,Magazine1,0,Porter,0,Pryor,0
/DBG,QAc-G-0056,Pryor,Kessler,90.071,Magazine1,7.3,Porter,2.616,Sugarloaf,0.01,Magazine2,0.003
/FGT,QAc-G-0276,Magazine,Kessler,98.355,Magazine1,1.101,Porter,0.543,Sugarloaf,0,Magazine2,0
/FGT,QAc-G-0279,Porter,Kessler,77.507,Porter,13.463,Magazine2,8.564,Magazine1,0.33,Sugarloaf,0.136
/FGT,QAc-G-0280,Porter,Kessler,68.281,Porter,30.711,Magazine2,1.007,Magazine1,0.001,Sugarloaf,0
/FGT,QAc-G-0281,Pryor,Pryor,64.479,Porter,35.38,Magazine1,0.106,Magazine2,0.022,Kessler,0.012
/HBG,QAc-G-0018,Porter,Magazine1,99.96,Porter,0.023,Magazine2,0.012,Kessler,0.005,Sugarloaf,0
/HBG,QAc-G-0019,Porter,Magazine1,99.829,Kessler,0.158,Porter,0.009,Sugarloaf,0.003,Magazine2,0.001
/HBG,QAc-G-0020,Porter,Kessler,99.996,Porter,0.004,Magazine1,0,Sugarloaf,0,Magazine2,0
/HBG,QAc-G-0021,Pryor,Porter,99.946,Kessler,0.054,Magazine1,0,Magazine2,0,Sugarloaf,0
/HBG,QAc-G-0023,Pryor,Pryor,98.74,Magazine1,1.245,Sugarloaf,0.012,Porter,0.002,Kessler,0.001
/HBG,QAc-G-0016,Porter,Magazine2,98.226,Magazine1,1.768,Kessler,0.006,Sugarloaf,0.001,Porter,0
/HBG,QAc-G-0017,Porter,Magazine1,99.295,Magazine2,0.61,Porter,0.091,Sugarloaf,0.003,Pryor,0.001
/Meis,QAc-G-0250,,Porter,66.575,Kessler,33.421,Magazine2,0.003,Magazine1,0.001,Sugarloaf,0
/MBG,QAc-G-0003,,Magazine1,97.996,Porter,1.148,Kessler,0.853,Magazine2,0.002,Sugarloaf,0
/MBG,QAc-G-0004,,Magazine1,100,Pryor,0,Kessler,0,Sugarloaf,0,Magazine2,0
/MBG,QAc-G-0005,,Magazine1,100,Porter,0,Kessler,0,Magazine2,0,Sugarloaf,0
/MBG,QAc-G-0006,,Magazine1,96.556,Kessler,3.437,Magazine2,0.007,Pryor,0,Porter,0
/Moore,QAc-G-0283,,Kessler,99.996,Sugarloaf,0.003,Magazine2,0.001,Magazine1,0,Pryor,0
/MA,QAc-G-0265,Pryor,Magazine1,99.091,Sugarloaf,0.877,Porter,0.027,Kessler,0.005,Magazine2,0
/MA,QAc-G-0266,Pryor,Magazine2,49.848,Magazine1,49.61,Porter,0.386,Sugarloaf,0.1,Kessler,0.047
/MA,QAc-G-0267,Magazine,Magazine1,90.845,Kessler,7.08,Porter,2.074,Magazine2,0,Pryor,0
/MA,QAc-G-0268,Magazine,Magazine1,84.809,Porter,11.987,Kessler,3.172,Magazine2,0.032,Pryor,0
/MA,QAc-G-0269,Magazine,Kessler,93.24,Magazine2,6.622,Magazine1,0.131,Porter,0.007,Sugarloaf,0
/MA,QAc-G-0270,Porter,Kessler,53.492,Porter,25.719,Sugarloaf,17.543,Magazine1,3.245,Magazine2,0
/MA,QAc-G-0271,Porter,Porter,99.891,Magazine1,0.108,Sugarloaf,0.001,Kessler,0,Magazine2,0
/MA,QAc-G-0273,Magazine,Porter,96.892,Magazine1,2.915,Magazine2,0.182,Pryor,0.01,Sugarloaf,0
/MA,QAc-G-0274,Pryor ,Magazine1,98.921,Porter,1.076,Magazine2,0.003,Kessler,0,Sugarloaf,0
/Peckerwood,QAc-G-0251,Porter,Sugarloaf,83.642,Magazine1,14.872,Kessler,1.476,Magazine2,0.01,Porter,0
/Peckerwood,QAc-G-0252,Porter,Kessler,98.668,Porter,0.765,Sugarloaf,0.566,Magazine1,0.001,Magazine2,0
/Peckerwood,QAc-G-0253,Pryor,Magazine2,56.511,Kessler,40.158,Magazine1,3.328,Pryor,0.002,Porter,0.001
/Peckerwood,QAc-G-0254,Pryor,Porter,52.379,Magazine1,45.946,Magazine2,1.112,Pryor,0.401,Sugarloaf,0.1
/Peckerwood,QAc-G-0255,Magazine,Magazine1,97.289,Porter,2.269,Pryor,0.395,Sugarloaf,0.038,Kessler,0.008
/Peckerwood,QAc-G-0256,Magazine,Magazine1,100,Porter,0,Magazine2,0,Pryor,0,Sugarloaf,0
/Peckerwood,QAc-G-0257,Magazine,Magazine1,100,Sugarloaf,0,Kessler,0,Magazine2,0,Porter,0
/Peckerwood,QAc-G-0259,Magazine,Kessler,100,Magazine1,0,Sugarloaf,0,Pryor,0,Magazine2,0
/Peckerwood,QAc-G-0260,Magazine,Kessler,99.544,Magazine1,0.449,Porter,0.007,Pryor,0,Magazine2,0
/Peckerwood,QAc-G-0261,Magazine,Magazine1,72.322,Magazine2,27.673,Porter,0.005,Kessler,0,Pryor,0
/TMA,QAc-G-0010,,Magazine1,89.627,Kessler,10.011,Porter,0.205,Sugarloaf,0.134,Magazine2,0.024
/TMA,QAc-G-0011,,Kessler,97.532,Sugarloaf,1.119,Magazine2,1.087,Porter,0.197,Magazine1,0.046
/TMA,QAc-G-0015,,Magazine1,82.244,Sugarloaf,16.466,Magazine2,1.169,Porter,0.119,Pryor,0.002
/TMA,QAc-G-0106,,Magazine1,99.942,Kessler,0.057,Magazine2,0.001,Porter,0.001,Pryor,0
/TMA,QAc-G-0109,Magazine,Magazine1,99.678,Magazine2,0.322,Sugarloaf,0,Pryor,0,Porter,0
/TMA,QAc-G-0111,Magazine,Magazine1,100,Magazine2,0,Kessler,0,Pryor,0,Porter,0
/TMA,QAc-G-0114,Magazine,Magazine1,100,Kessler,0,Magazine2,0,Pryor,0,Porter,0
/TMA,QAc-G-0115,Magazine,Magazine1,100,Pryor,0,Magazine2,0,Kessler,0,Porter,0
/TMA,QAc-G-0117,Magazine,Magazine1,97.725,Porter,2.275,Magazine2,0.001,Sugarloaf,0,Kessler,0
/TMA,QAc-G-0120,Magazine,Magazine1,99.546,Porter,0.407,Sugarloaf,0.037,Kessler,0.007,Magazine2,0.003
/TMA,QAc-G-0121,Magazine,Magazine1,100,Porter,0,Pryor,0,Kessler,0,Magazine2,0
/TMA,QAc-G-0122,Magazine,Magazine1,97.96,Porter,2.039,Kessler,0,Magazine2,0,Pryor,0
/TMA,QAc-G-0125,Magazine,Magazine1,100,Pryor,0,Porter,0,Magazine2,0,Kessler,0
/TMA,QAc-G-0126,Magazine,Magazine1,99.997,Porter,0.002,Magazine2,0.001,Kessler,0,Pryor,0
/TMA,QAc-G-0127,Magazine,Magazine1,91.932,Porter,8.068,Magazine2,0,Kessler,0,Pryor,0
/TMA,QAc-G-0137,Magazine,Magazine1,100,Magazine2,0,Porter,0,Pryor,0,Kessler,0
/TMA,QAc-G-0141,Magazine,Kessler,92.648,Sugarloaf,6.827,Porter,0.51,Magazine1,0.014,Pryor,0
/TMA,QAc-G-0143,Magazine,Magazine2,99.92,Kessler,0.062,Porter,0.015,Sugarloaf,0.003,Magazine1,0
/TMA,QAc-G-0145,Magazine,Kessler,99.404,Porter,0.319,Magazine2,0.188,Magazine1,0.086,Sugarloaf,0.003
/TMA,QAc-G-0147,Magazine,Sugarloaf,99.967,Magazine1,0.018,Magazine2,0.011,Porter,0.003,Kessler,0.001
/TMA,QAc-G-0148,Magazine,Magazine1,99.964,Kessler,0.034,Porter,0.003,Sugarloaf,0,Magazine2,0
/TMA,QAc-G-0150,Magazine,Kessler,50.678,Magazine1,33.781,Magazine2,14.205,Porter,1.299,Pryor,0.019
/TMA,QAc-G-0162,Magazine,Kessler,99.98,Magazine2,0.012,Porter,0.007,Magazine1,0.001,Sugarloaf,0
/TMA,QAc-G-0165,Magazine,Magazine1,99.924,Kessler,0.059,Sugarloaf,0.01,Magazine2,0.004,Porter,0.002
/TMA,QAc-G-0167,Magazine,Kessler,99.193,Magazine2,0.736,Porter,0.062,Magazine1,0.01,Sugarloaf,0
/TMA,QAc-G-0174,Magazine,Magazine1,98.858,Porter,1.135,Magazine2,0.006,Kessler,0.001,Sugarloaf,0
/TMA,QAc-G-0188,Magazine,Porter,38.822,Sugarloaf,34.377,Kessler,26.687,Magazine1,0.095,Magazine2,0.02
/TMA,QAc-G-0207,Pryor,Magazine1,99.884,Porter,0.114,Pryor,0.001,Kessler,0.001,Magazine2,0
/TMA,QAc-G-0213,Pryor,Kessler,86.7,Magazine1,11.616,Pryor,1.683,Porter,0,Magazine2,0
/TMA,QAc-G-0216,Pryor,Magazine1,99.998,Magazine2,0.001,Kessler,0,Porter,0,Pryor,0
/TMA,QAc-G-0217,Pryor,Sugarloaf,54.386,Pryor,41.561,Magazine1,3.99,Magazine2,0.05,Porter,0.013
/TMA,QAc-G-0227,Porter,Magazine1,93.221,Kessler,6.065,Magazine2,0.608,Porter,0.1,Sugarloaf,0.006
/TMA,QAc-G-0228,Porter,Kessler,99.968,Sugarloaf,0.027,Porter,0.005,Magazine1,0.001,Magazine2,0
