Ind,Garden,First_Assign,%,,2,%,,3,%,,4,%,,5,%,,'-log(L),'-log(L),'-log(L),'-log(L),'-log(L),,,
QAc-G-0071,Arnold,Kessler_Mountain_W,68.333,,MagazineMountain_W,30.697,,PorterMountain_W,0.966,,PryorMountain_W,0.003,,Sugar_Loaf_Mountains_W,0,,35.047,33.544,37.527,38.751,33.197,13, 0C11 - 1  1G13 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , G07 - 1  1F02 - 1  
QAc-G-0072,Arnold,MagazineMountain_W,89.087,,PorterMountain_W,10.832,,PryorMountain_W,0.077,,Kessler_Mountain_W,0.003,,Sugar_Loaf_Mountains_W,0,,35.707,34.792,37.853,46.183,39.215,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0073,Arnold,Kessler_Mountain_W,99.998,,MagazineMountain_W,0.002,,PorterMountain_W,0,,Sugar_Loaf_Mountains_W,0,,PryorMountain_W,0,,46.253,44.309,48.454,47.031,39.665,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0074,Arnold,PorterMountain_W,99.822,,PryorMountain_W,0.136,,Kessler_Mountain_W,0.042,,Sugar_Loaf_Mountains_W,0,,MagazineMountain_W,0,,32.56,39.881,35.427,39.246,35.931,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0075,Arnold,Kessler_Mountain_W,98.071,,MagazineMountain_W,1.267,,PorterMountain_W,0.506,,Sugar_Loaf_Mountains_W,0.157,,PryorMountain_W,0,,37.004,36.605,43.705,37.513,34.717,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0076,Arnold,Kessler_Mountain_W,97.853,,MagazineMountain_W,2.093,,PorterMountain_W,0.054,,Sugar_Loaf_Mountains_W,0,,PryorMountain_W,0,,42.369,40.781,47.125,45.679,39.111,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0077,Arnold,MagazineMountain_W,99.981,,Kessler_Mountain_W,0.018,,PryorMountain_W,0.001,,PorterMountain_W,0,,Sugar_Loaf_Mountains_W,0,,45.717,37.533,42.698,53.159,41.27,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0078,Arnold,Kessler_Mountain_W,57.796,,PryorMountain_W,41.689,,MagazineMountain_W,0.515,,PorterMountain_W,0,,Sugar_Loaf_Mountains_W,0,,45.92,42.797,40.888,50.401,40.747,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0079,Arnold,Kessler_Mountain_W,94.875,,PryorMountain_W,5.03,,MagazineMountain_W,0.094,,PorterMountain_W,0,,Sugar_Loaf_Mountains_W,0,,43.358,39.913,38.187,47.363,36.911,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0080,Arnold,Kessler_Mountain_W,100,,PryorMountain_W,0,,MagazineMountain_W,0,,Sugar_Loaf_Mountains_W,0,,PorterMountain_W,0,,51.431,46.244,42.124,50.546,36.606,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
