Ind,Garden,First_Assign,%,,2,%,,3,%,,4,%,,5,%,,'-log(L),'-log(L),'-log(L),'-log(L),'-log(L),,,
QAc-G-0308,CBG,Kessler_Mountain_W,93.137,,MagazineMountain_W,6.863,,PorterMountain_W,0,,Sugar_Loaf_Mountains_W,0,,PryorMountain_W,0,,45.579,39.64,48.271,48.209,38.507,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0309,CBG,Kessler_Mountain_W,99.993,,PryorMountain_W,0.007,,MagazineMountain_W,0,,PorterMountain_W,0,,Sugar_Loaf_Mountains_W,0,,44.466,43.408,39.574,53.141,35.44,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0310,CBG,Kessler_Mountain_W,95.727,,PryorMountain_W,4.273,,PorterMountain_W,0,,MagazineMountain_W,0,,Sugar_Loaf_Mountains_W,0,,40.759,43.136,36.673,47.66,35.323,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0311,CBG,Kessler_Mountain_W,100,,PryorMountain_W,0,,MagazineMountain_W,0,,PorterMountain_W,0,,Sugar_Loaf_Mountains_W,0,,51.049,46.445,44.413,55.604,36.212,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0312,CBG,Kessler_Mountain_W,99.997,,MagazineMountain_W,0.003,,PryorMountain_W,0,,Sugar_Loaf_Mountains_W,0,,PorterMountain_W,0,,48.888,40.848,43.91,45.494,36.336,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0313,CBG,Sugar_Loaf_Mountains_W,95.377,,Kessler_Mountain_W,2.718,,MagazineMountain_W,1.515,,PorterMountain_W,0.39,,PryorMountain_W,0,,39.425,38.835,44.04,37.036,38.582,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0314,CBG,PorterMountain_W,87.05,,Sugar_Loaf_Mountains_W,9.918,,Kessler_Mountain_W,3.031,,MagazineMountain_W,0,,PryorMountain_W,0,,37.323,42.784,43.428,38.266,38.781,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0315,CBG,Kessler_Mountain_W,96.161,,PorterMountain_W,3.838,,Sugar_Loaf_Mountains_W,0,,MagazineMountain_W,0,,PryorMountain_W,0,,41.955,46.721,48.801,46.619,40.557,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0316,CBG,Kessler_Mountain_W,99.991,,MagazineMountain_W,0.005,,Sugar_Loaf_Mountains_W,0.004,,PorterMountain_W,0,,PryorMountain_W,0,,42.75,40.829,46.475,40.959,36.516,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0032,DBG,Kessler_Mountain_W,92.009,,MagazineMountain_W,7.98,,Sugar_Loaf_Mountains_W,0.009,,PryorMountain_W,0.002,,PorterMountain_W,0.001,,40.372,36.502,40.143,39.473,35.44,14, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  QpZAG9 - 1  , PIE125 - 1  
QAc-G-0033,DBG,MagazineMountain_W,53.481,,Kessler_Mountain_W,44.866,,PorterMountain_W,1.488,,PryorMountain_W,0.163,,Sugar_Loaf_Mountains_W,0.001,,37.337,35.782,38.298,40.489,35.858,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0034,DBG,Kessler_Mountain_W,68.481,,PryorMountain_W,22.817,,MagazineMountain_W,6.498,,PorterMountain_W,2.203,,Sugar_Loaf_Mountains_W,0.001,,42.345,41.875,41.33,45.529,40.852,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0035,DBG,PryorMountain_W,55.853,,MagazineMountain_W,41.277,,PorterMountain_W,2.866,,Kessler_Mountain_W,0.003,,Sugar_Loaf_Mountains_W,0,,37.419,36.26,36.129,42.769,40.365,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0036,DBG,Kessler_Mountain_W,99.786,,PorterMountain_W,0.214,,MagazineMountain_W,0,,PryorMountain_W,0,,Sugar_Loaf_Mountains_W,0,,37.706,40.668,41.004,41.928,35.037,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0037,DBG,Kessler_Mountain_W,99.991,,MagazineMountain_W,0.009,,PorterMountain_W,0,,PryorMountain_W,0,,Sugar_Loaf_Mountains_W,0,,42.245,40.675,42.872,46.164,36.606,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0038,DBG,MagazineMountain_W,49.941,,Kessler_Mountain_W,37.794,,Sugar_Loaf_Mountains_W,12.177,,PorterMountain_W,0.088,,PryorMountain_W,0,,38.83,36.077,44.131,36.69,36.198,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0039,DBG,PorterMountain_W,79.129,,Kessler_Mountain_W,16.062,,Sugar_Loaf_Mountains_W,4.702,,MagazineMountain_W,0.106,,PryorMountain_W,0.001,,38.329,41.202,43.259,39.555,39.022,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0040,DBG,PorterMountain_W,69.554,,MagazineMountain_W,30.24,,Kessler_Mountain_W,0.158,,Sugar_Loaf_Mountains_W,0.047,,PryorMountain_W,0.001,,40.473,40.835,45.237,43.645,43.116,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0041,DBG,Kessler_Mountain_W,99.519,,MagazineMountain_W,0.463,,PorterMountain_W,0.018,,Sugar_Loaf_Mountains_W,0,,PryorMountain_W,0,,42.353,40.933,45.803,43.928,38.601,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0042,DBG,Kessler_Mountain_W,96.131,,MagazineMountain_W,3.868,,Sugar_Loaf_Mountains_W,0,,PorterMountain_W,0,,PryorMountain_W,0,,39.931,34.155,40.874,38.561,32.76,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0043,DBG,MagazineMountain_W,62.247,,Kessler_Mountain_W,37.736,,PorterMountain_W,0.016,,PryorMountain_W,0,,Sugar_Loaf_Mountains_W,0,,45.451,41.87,47.15,47.849,42.087,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0044,DBG,MagazineMountain_W,99.807,,PorterMountain_W,0.137,,Kessler_Mountain_W,0.052,,Sugar_Loaf_Mountains_W,0.002,,PryorMountain_W,0.001,,35.364,32.502,37.414,37.243,35.783,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0045,DBG,Kessler_Mountain_W,99.978,,PorterMountain_W,0.011,,MagazineMountain_W,0.006,,PryorMountain_W,0.005,,Sugar_Loaf_Mountains_W,0,,36.698,36.947,37.013,41.665,32.738,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0046,DBG,Kessler_Mountain_W,99.996,,PorterMountain_W,0.003,,MagazineMountain_W,0.001,,Sugar_Loaf_Mountains_W,0,,PryorMountain_W,0,,44.376,44.632,48.026,45.901,39.787,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0047,DBG,PryorMountain_W,99.852,,MagazineMountain_W,0.094,,Kessler_Mountain_W,0.044,,PorterMountain_W,0.01,,Sugar_Loaf_Mountains_W,0,,40.907,39.949,36.921,44.717,40.277,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0048,DBG,Kessler_Mountain_W,100,,MagazineMountain_W,0,,Sugar_Loaf_Mountains_W,0,,PorterMountain_W,0,,PryorMountain_W,0,,45.516,43.117,48.773,43.566,37.061,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0049,DBG,Kessler_Mountain_W,99.294,,MagazineMountain_W,0.706,,PorterMountain_W,0,,PryorMountain_W,0,,Sugar_Loaf_Mountains_W,0,,44.461,40.623,44.464,49.374,38.474,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0050,DBG,Kessler_Mountain_W,100,,MagazineMountain_W,0,,PorterMountain_W,0,,PryorMountain_W,0,,Sugar_Loaf_Mountains_W,0,,44.815,40.984,45.796,49.586,34.881,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0051,DBG,Kessler_Mountain_W,99.983,,PryorMountain_W,0.017,,MagazineMountain_W,0,,PorterMountain_W,0,,Sugar_Loaf_Mountains_W,0,,47.482,44.059,41.563,51.542,37.787,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0052,DBG,Kessler_Mountain_W,98.543,,MagazineMountain_W,1.178,,PryorMountain_W,0.279,,PorterMountain_W,0,,Sugar_Loaf_Mountains_W,0,,45.403,39.699,40.324,47.386,37.776,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0053,DBG,Kessler_Mountain_W,100,,MagazineMountain_W,0,,PryorMountain_W,0,,PorterMountain_W,0,,Sugar_Loaf_Mountains_W,0,,47.592,44.703,47.117,51.309,38.707,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0054,DBG,Kessler_Mountain_W,100,,MagazineMountain_W,0,,Sugar_Loaf_Mountains_W,0,,PryorMountain_W,0,,PorterMountain_W,0,,53.05,47.594,51.568,51.061,40.136,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0055,DBG,Kessler_Mountain_W,99.433,,MagazineMountain_W,0.567,,PryorMountain_W,0,,Sugar_Loaf_Mountains_W,0,,PorterMountain_W,0,,45.061,37.641,44.415,44.923,35.398,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0056,DBG,MagazineMountain_W,99.072,,Kessler_Mountain_W,0.927,,PorterMountain_W,0,,PryorMountain_W,0,,Sugar_Loaf_Mountains_W,0,,43.391,37.221,44.017,47.178,39.25,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0057,DBG,Kessler_Mountain_W,99.992,,MagazineMountain_W,0.008,,PryorMountain_W,0,,PorterMountain_W,0,,Sugar_Loaf_Mountains_W,0,,46.796,42.027,44.216,50.53,37.929,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0058,DBG,PryorMountain_W,99.878,,Kessler_Mountain_W,0.122,,MagazineMountain_W,0,,PorterMountain_W,0,,Sugar_Loaf_Mountains_W,0,,40.426,38.878,32.868,45.304,35.782,14, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , FIR043 - 1  
QAc-G-0059,DBG,Kessler_Mountain_W,100,,MagazineMountain_W,0,,PryorMountain_W,0,,Sugar_Loaf_Mountains_W,0,,PorterMountain_W,0,,50.044,41.428,45.141,45.889,35.022,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0060,DBG,MagazineMountain_W,94.53,,PorterMountain_W,4.312,,Kessler_Mountain_W,1.148,,PryorMountain_W,0.009,,Sugar_Loaf_Mountains_W,0.001,,34.697,33.356,37.378,38.382,35.272,14, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , FIR043 - 1  
QAc-G-0276,FGT,Kessler_Mountain_W,100,,MagazineMountain_W,0,,PorterMountain_W,0,,PryorMountain_W,0,,Sugar_Loaf_Mountains_W,0,,45.287,44.169,46.502,50.035,35.757,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0279,FGT,MagazineMountain_W,99.675,,Kessler_Mountain_W,0.322,,PorterMountain_W,0.002,,PryorMountain_W,0.001,,Sugar_Loaf_Mountains_W,0,,37.868,33.264,38.457,47.289,35.755,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0280,FGT,MagazineMountain_W,100,,PorterMountain_W,0,,PryorMountain_W,0,,Kessler_Mountain_W,0,,Sugar_Loaf_Mountains_W,0,,34.824,29.24,35.601,37.744,35.886,14, 0C11 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 1G13 - 1  
QAc-G-0281,FGT,Kessler_Mountain_W,95.241,,PryorMountain_W,3.394,,MagazineMountain_W,1.364,,PorterMountain_W,0.001,,Sugar_Loaf_Mountains_W,0,,46.245,42.948,42.552,49.135,41.104,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0018,HBG,Kessler_Mountain_W,64.543,,MagazineMountain_W,20.801,,PryorMountain_W,14.536,,PorterMountain_W,0.118,,Sugar_Loaf_Mountains_W,0.003,,41.842,39.594,39.75,43.425,39.103,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0019,HBG,PorterMountain_W,99.182,,MagazineMountain_W,0.491,,Kessler_Mountain_W,0.269,,PryorMountain_W,0.057,,Sugar_Loaf_Mountains_W,0,,37.369,39.674,40.606,42.894,39.934,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0020,HBG,PorterMountain_W,44.848,,Kessler_Mountain_W,36.734,,MagazineMountain_W,18.38,,Sugar_Loaf_Mountains_W,0.038,,PryorMountain_W,0,,41.352,41.739,47.583,44.421,41.438,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0021,HBG,Kessler_Mountain_W,98.654,,PorterMountain_W,1.345,,MagazineMountain_W,0.001,,Sugar_Loaf_Mountains_W,0,,PryorMountain_W,0,,34.264,37.584,41.359,39.691,32.399,14, 0C11 - 1  1G13 - 1  G07 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 1F02 - 1  
QAc-G-0022,HBG,Kessler_Mountain_W,99.999,,Sugar_Loaf_Mountains_W,0.001,,PorterMountain_W,0,,MagazineMountain_W,0,,PryorMountain_W,0,,37.945,41.238,42.01,37.366,32.348,14, 0C11 - 1  1G13 - 1  G07 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 1F02 - 1  
QAc-G-0023,HBG,Kessler_Mountain_W,99.959,,PryorMountain_W,0.041,,MagazineMountain_W,0,,PorterMountain_W,0,,Sugar_Loaf_Mountains_W,0,,47.097,46.43,38.298,51.302,34.916,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0024,HBG,Kessler_Mountain_W,97.62,,PryorMountain_W,1.654,,MagazineMountain_W,0.704,,PorterMountain_W,0.022,,Sugar_Loaf_Mountains_W,0,,41.981,40.467,40.097,49.788,38.325,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0016,HBG,MagazineMountain_W,99.994,,Kessler_Mountain_W,0.006,,Sugar_Loaf_Mountains_W,0,,PorterMountain_W,0,,PryorMountain_W,0,,45.982,37.147,46.509,45.83,41.381,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0017,HBG,Kessler_Mountain_W,99.958,,PorterMountain_W,0.024,,Sugar_Loaf_Mountains_W,0.014,,MagazineMountain_W,0.004,,PryorMountain_W,0,,39.09,39.912,40.822,39.329,35.475,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0250,Meis,Kessler_Mountain_W,96.588,,PorterMountain_W,2.939,,MagazineMountain_W,0.472,,PryorMountain_W,0.001,,Sugar_Loaf_Mountains_W,0,,38.762,39.556,42.465,44.105,37.245,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0003,MBG,Kessler_Mountain_W,99.988,,MagazineMountain_W,0.012,,PorterMountain_W,0,,PryorMountain_W,0,,Sugar_Loaf_Mountains_W,0,,37.115,34.579,39.916,44.646,30.665,14, 0C11 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 1G13 - 1  
QAc-G-0004,MBG,Kessler_Mountain_W,99.231,,MagazineMountain_W,0.769,,PryorMountain_W,0,,PorterMountain_W,0,,Sugar_Loaf_Mountains_W,0,,47.273,37.522,45.747,48.614,35.411,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0005,MBG,Kessler_Mountain_W,99.679,,PryorMountain_W,0.294,,PorterMountain_W,0.023,,MagazineMountain_W,0.003,,Sugar_Loaf_Mountains_W,0,,42.133,42.973,41.029,53.614,38.499,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0006,MBG,MagazineMountain_W,99.962,,Kessler_Mountain_W,0.038,,PorterMountain_W,0,,PryorMountain_W,0,,Sugar_Loaf_Mountains_W,0,,38.578,31.219,41.525,42.217,34.638,14, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , FIR043 - 1  
