Pop,Ind,Sample_Pop,Assign_Pop_1,Correct_Assignment,Percent_1,Assign_Pop_2,Percent_2,Assign_Pop_3,Percent_3,Assign_Pop_4,Percent_4,Assign_Pop_5,Percent_5
/TMA,QAc-G-0228,Porter,Kessler,N,99.969,Sugarloaf,0.027,Porter,0.005,Magazine,0,Pryor,0
/TMA,QAc-G-0233,Porter,Kessler,N,97.674,Pryor,2.323,Porter,0.002,Magazine,0.001,Sugarloaf,0
/TMA,QAc-G-0236,Porter,Kessler,N,99.922,Magazine,0.066,Porter,0.011,Sugarloaf,0.001,Pryor,0
/TMA,QAc-G-0248,,Kessler,N,99.9,Porter,0.076,Magazine,0.015,Sugarloaf,0.01,Pryor,0
/UWBG,QAc-G-0275,,Kessler,N,90.24,Pryor,5.821,Magazine,3.849,Porter,0.09,Sugarloaf,0
/AP,QAc-G-0030,Pryor,Magazine,N,88.571,Porter,7.792,Sugarloaf,3.476,Pryor,0.148,Kessler,0.013
/Arnold,QAc-G-0062,Pryor,Magazine,N,99.999,Kessler,0,Porter,0,Pryor,0,Sugarloaf,0
/Arnold,QAc-G-0065,Magazine,Magazine,Y,99.759,Porter,0.241,Pryor,0,Kessler,0,Sugarloaf,0
/Arnold,QAc-G-0067,Magazine,Magazine,Y,99.997,Kessler,0.003,Porter,0,Sugarloaf,0,Pryor,0
/Arnold,QAc-G-0068,Magazine,Magazine,Y,99.991,Sugarloaf,0.004,Kessler,0.004,Porter,0,Pryor,0
/Arnold,QAc-G-0070,Magazine,Magazine,Y,94.709,Porter,4.229,Kessler,0.875,Sugarloaf,0.187,Pryor,0
/CBG,QAc-G-0285,,Magazine,NA,99.974,Porter,0.018,Kessler,0.007,Pryor,0.001,Sugarloaf,0
/CBG,QAc-G-0292,,Magazine,NA,99.918,Kessler,0.074,Porter,0.008,Sugarloaf,0,Pryor,0
/CBG,QAc-G-0298,,Magazine,NA,89.695,Kessler,6.196,Porter,3.947,Sugarloaf,0.162,Pryor,0
/CBG,QAc-G-0303,,Magazine,NA,100,Pryor,0,Porter,0,Kessler,0,Sugarloaf,0
/CBG,QAc-G-0305,,Magazine,NA,73.821,Porter,19.798,Sugarloaf,6.059,Kessler,0.323,Pryor,0
/CBG,QAc-G-0307,,Magazine,NA,71.336,Kessler,16.876,Porter,11.426,Sugarloaf,0.362,Pryor,0
/CBG,QAc-G-0312,,Magazine,NA,99.609,Kessler,0.236,Porter,0.078,Sugarloaf,0.076,Pryor,0
/CBG,QAc-G-0313,,Magazine,NA,99.483,Porter,0.491,Sugarloaf,0.019,Kessler,0.007,Pryor,0
/DBG,QAc-G-0032,Magazine,Magazine,Y,97.103,Kessler,2.897,Pryor,0,Sugarloaf,0,Porter,0
/DBG,QAc-G-0049,Pryor,Magazine,N,97.538,Porter,2.458,Sugarloaf,0.003,Pryor,0.001,Kessler,0.001
/DBG,QAc-G-0050,Pryor,Magazine,N,99.992,Porter,0.008,Kessler,0,Pryor,0,Sugarloaf,0
/DBG,QAc-G-0052,Pryor,Magazine,N,92.804,Kessler,7.195,Sugarloaf,0,Porter,0,Pryor,0
/HBG,QAc-G-0018,Porter,Magazine,N,98.638,Porter,1.117,Kessler,0.244,Sugarloaf,0,Pryor,0
/HBG,QAc-G-0016,Porter,Magazine,N,99.347,Kessler,0.588,Sugarloaf,0.065,Porter,0.001,Pryor,0
/HBG,QAc-G-0017,Porter,Magazine,N,99.984,Porter,0.015,Sugarloaf,0.001,Pryor,0,Kessler,0
/MBG,QAc-G-0003,,Magazine,NA,67.404,Porter,18.705,Kessler,13.888,Sugarloaf,0.002,Pryor,0
/MBG,QAc-G-0004,,Magazine,NA,100,Pryor,0,Kessler,0,Sugarloaf,0,Porter,0
/MBG,QAc-G-0005,,Magazine,NA,99.999,Porter,0.001,Kessler,0,Sugarloaf,0,Pryor,0
