Ind,Pop,Sample_pop,First_Assign_Pop,First_Per,Second_Assign_Pop,Second_per,Third_Assign_Pop,Third_Per,Fourth_Assign_Pop,Fourth_Per,Fifth_Assign_Pop,Fifth_Pop
QAc-G-0194,/TMA,Magazine,Kessler,77.036,Porter,15.037,Magazine,7.817,Pryor,0.11,Sugarloaf,0
QAc-G-0195,/TMA,Magazine,Kessler,96.304,Magazine,3.696,Sugarloaf,0,Porter,0,Pryor,0
QAc-G-0196,/TMA,Magazine,Magazine,94.681,Kessler,5.319,Pryor,0,Porter,0,Sugarloaf,0
QAc-G-0197,/TMA,Magazine,Kessler,97.879,Magazine,1.918,Porter,0.201,Pryor,0.002,Sugarloaf,0
QAc-G-0198,/TMA,Magazine,Kessler,60.035,Magazine,26.302,Pryor,13.581,Porter,0.082,Sugarloaf,0
QAc-G-0199,/TMA,Magazine,Kessler,98.991,Magazine,1.009,Porter,0,Pryor,0,Sugarloaf,0
QAc-G-0200,/TMA,Magazine,Magazine,99.979,Kessler,0.019,Porter,0.002,Sugarloaf,0,Pryor,0
QAc-G-0201,/TMA,Magazine,Magazine,89.892,Kessler,10.108,Pryor,0,Porter,0,Sugarloaf,0
QAc-G-0202,/TMA,Magazine,Kessler,51.506,Magazine,48.479,Pryor,0.01,Porter,0.005,Sugarloaf,0
QAc-G-0203,/TMA,Magazine,Magazine,71.38,Kessler,28.52,Pryor,0.099,Porter,0.002,Sugarloaf,0
QAc-G-0204,/TMA,Pryor,Magazine,99.976,Porter,0.024,Kessler,0,Pryor,0,Sugarloaf,0
QAc-G-0205,/TMA,Pryor,Pryor,64.613,Magazine,24.508,Kessler,10.878,Porter,0,Sugarloaf,0
QAc-G-0206,/TMA,Pryor,Kessler,52.621,Pryor,47.334,Magazine,0.045,Porter,0,Sugarloaf,0
QAc-G-0207,/TMA,Pryor,Pryor,80.045,Magazine,15.568,Kessler,4.387,Porter,0,Sugarloaf,0
QAc-G-0208,/TMA,Pryor,Kessler,99.514,Pryor,0.372,Magazine,0.113,Porter,0.001,Sugarloaf,0
QAc-G-0209,/TMA,Pryor,Kessler,99.998,Magazine,0.001,Pryor,0,Porter,0,Sugarloaf,0
QAc-G-0210,/TMA,Pryor,Kessler,99.996,Magazine,0.003,Pryor,0,Porter,0,Sugarloaf,0
QAc-G-0211,/TMA,Pryor,Kessler,97.815,Pryor,2.184,Magazine,0.001,Porter,0,Sugarloaf,0
QAc-G-0212,/TMA,Pryor,Pryor,94.403,Magazine,5.425,Porter,0.164,Kessler,0.008,Sugarloaf,0
QAc-G-0213,/TMA,Pryor,Kessler,100,Magazine,0,Pryor,0,Porter,0,Sugarloaf,0
QAc-G-0214,/TMA,Pryor,Pryor,98.353,Porter,1.176,Magazine,0.388,Kessler,0.084,Sugarloaf,0
QAc-G-0215,/TMA,Pryor,Magazine,63.127,Kessler,31.296,Pryor,5.573,Sugarloaf,0.004,Porter,0
QAc-G-0216,/TMA,Pryor,Kessler,99.998,Magazine,0.002,Porter,0,Pryor,0,Sugarloaf,0
QAc-G-0217,/TMA,Pryor,Kessler,66.524,Pryor,33.471,Magazine,0.004,Porter,0.001,Sugarloaf,0
QAc-G-0218,/TMA,Pryor,Magazine,99.989,Kessler,0.01,Pryor,0.001,Porter,0,Sugarloaf,0
QAc-G-0219,/TMA,Pryor,Kessler,99.653,Magazine,0.347,Pryor,0,Porter,0,Sugarloaf,0
QAc-G-0220,/TMA,Pryor,Kessler,100,Magazine,0,Pryor,0,Porter,0,Sugarloaf,0
QAc-G-0221,/TMA,Pryor,Kessler,100,Magazine,0,Pryor,0,Sugarloaf,0,Porter,0
QAc-G-0222,/TMA,Pryor,Kessler,98.129,Pryor,0.984,Magazine,0.886,Porter,0,Sugarloaf,0
QAc-G-0223,/TMA,Pryor,Kessler,100,Magazine,0,Pryor,0,Porter,0,Sugarloaf,0
QAc-G-0224,/TMA,Pryor,Kessler,98.856,Magazine,1.137,Pryor,0.007,Porter,0,Sugarloaf,0
QAc-G-0226,/TMA,Porter,Kessler,96.253,Pryor,3.744,Magazine,0.003,Porter,0,Sugarloaf,0
QAc-G-0227,/TMA,Porter,Porter,99.996,Magazine,0.002,Pryor,0.001,Kessler,0.001,Sugarloaf,0
QAc-G-0228,/TMA,Porter,Magazine,99.935,Kessler,0.056,Sugarloaf,0.006,Porter,0.003,Pryor,0
QAc-G-0229,/TMA,Porter,Kessler,99.734,Porter,0.266,Magazine,0,Sugarloaf,0,Pryor,0
QAc-G-0230,/TMA,Porter,Magazine,71.385,Pryor,19.711,Kessler,7.757,Porter,1.097,Sugarloaf,0.05
QAc-G-0231,/TMA,Porter,Kessler,93.98,Magazine,4.392,Pryor,1.616,Porter,0.012,Sugarloaf,0
QAc-G-0232,/TMA,Porter,Kessler,99.996,Porter,0.004,Sugarloaf,0,Pryor,0,Magazine,0
QAc-G-0233,/TMA,Porter,Magazine,84.988,Pryor,15.006,Kessler,0.006,Sugarloaf,0,Porter,0
QAc-G-0234,/TMA,Porter,Porter,97.868,Kessler,2.106,Pryor,0.025,Sugarloaf,0,Magazine,0
QAc-G-0235,/TMA,Porter,Kessler,99.741,Pryor,0.257,Magazine,0.002,Sugarloaf,0,Porter,0
QAc-G-0236,/TMA,Porter,Kessler,67.981,Magazine,32.017,Sugarloaf,0.001,Pryor,0,Porter,0
QAc-G-0237,/TMA,Porter,Kessler,98.457,Porter,1.122,Magazine,0.396,Pryor,0.017,Sugarloaf,0.007
QAc-G-0238,/TMA,Porter,Kessler,99.994,Magazine,0.006,Pryor,0,Porter,0,Sugarloaf,0
QAc-G-0239,/TMA,Porter,Kessler,99.966,Magazine,0.034,Sugarloaf,0,Porter,0,Pryor,0
QAc-G-0240,/TMA,Porter,Kessler,76.782,Magazine,13.269,Porter,7.756,Sugarloaf,2.194,Pryor,0
QAc-G-0241,/TMA,Porter,Kessler,88.587,Magazine,11.407,Porter,0.006,Pryor,0.001,Sugarloaf,0
QAc-G-0242,/TMA,Porter,Pryor,99.359,Magazine,0.637,Porter,0.004,Kessler,0,Sugarloaf,0
QAc-G-0243,/TMA,Porter,Porter,44.864,Magazine,27.98,Pryor,26.94,Kessler,0.215,Sugarloaf,0.001
QAc-G-0244,/TMA,Porter,Magazine,98.646,Porter,1.349,Kessler,0.005,Pryor,0,Sugarloaf,0
QAc-G-0245,/TMA,Porter,Magazine,59.143,Kessler,40.039,Porter,0.546,Sugarloaf,0.271,Pryor,0
QAc-G-0246,/TMA,Porter,Magazine,99.939,Kessler,0.061,Porter,0,Pryor,0,Sugarloaf,0
QAc-G-0247,/TMA,Porter,Magazine,98.313,Kessler,1.687,Sugarloaf,0,Porter,0,Pryor,0
QAc-G-0248,/TMA,NONE,Kessler,100,Magazine,0,Porter,0,Sugarloaf,0,Pryor,0
QAc-G-0249,/Trompenburg,NONE,Kessler,99.977,Magazine,0.016,Porter,0.006,Sugarloaf,0,Pryor,0
QAc-G-0025,/USNONE,Magazine,Pryor,70.895,Kessler,23.064,Magazine,6.038,Porter,0.003,Sugarloaf,0
QAc-G-0028,/USNONE,NONE,Pryor,99.999,Kessler,0.001,Porter,0,Magazine,0,Sugarloaf,0
QAc-G-0275,/UWBG,Pryor,Magazine,74.042,Kessler,24.124,Pryor,1.834,Porter,0,Sugarloaf,0
QAc-G-0263,/Plze?,NONE,Magazine,98.835,Kessler,1.164,Sugarloaf,0.001,Pryor,0,Porter,0
