Ind,Pop,Sample_pop,First_Assign_Pop,First_Per,Second_Assign_Pop,Second_per,Third_Assign_Pop,Third_Per,Fourth_Assign_Pop,Fourth_Per,Fifth_Assign_Pop,Fifth_Pop
QAc-G-0308,/CBG,NONE,Kessler,93.137,Magazine,6.863,Porter,0,Sugarloaf,0,Pryor,0
QAc-G-0309,/CBG,NONE,Kessler,99.993,Pryor,0.007,Magazine,0,Porter,0,Sugarloaf,0
QAc-G-0310,/CBG,NONE,Kessler,95.727,Pryor,4.273,Porter,0,Magazine,0,Sugarloaf,0
QAc-G-0311,/CBG,NONE,Kessler,100,Pryor,0,Magazine,0,Porter,0,Sugarloaf,0
QAc-G-0312,/CBG,NONE,Kessler,99.997,Magazine,0.003,Pryor,0,Sugarloaf,0,Porter,0
QAc-G-0313,/CBG,NONE,Sugarloaf,95.377,Kessler,2.718,Magazine,1.515,Porter,0.39,Pryor,0
QAc-G-0314,/CBG,NONE,Porter,87.05,Sugarloaf,9.918,Kessler,3.031,Magazine,0,Pryor,0
QAc-G-0315,/CBG,NONE,Kessler,96.161,Porter,3.838,Sugarloaf,0,Magazine,0,Pryor,0
QAc-G-0316,/CBG,NONE,Kessler,99.991,Magazine,0.005,Sugarloaf,0.004,Porter,0,Pryor,0
QAc-G-0032,/DBG,Magazine,Kessler,92.009,Magazine,7.98,Sugarloaf,0.009,Pryor,0.002,Porter,0.001
QAc-G-0033,/DBG,Porter,Magazine,53.481,Kessler,44.866,Porter,1.488,Pryor,0.163,Sugarloaf,0.001
QAc-G-0034,/DBG,Porter,Kessler,68.481,Pryor,22.817,Magazine,6.498,Porter,2.203,Sugarloaf,0.001
QAc-G-0035,/DBG,Porter,Pryor,55.853,Magazine,41.277,Porter,2.866,Kessler,0.003,Sugarloaf,0
QAc-G-0036,/DBG,Porter,Kessler,99.786,Porter,0.214,Magazine,0,Pryor,0,Sugarloaf,0
QAc-G-0037,/DBG,Porter,Kessler,99.991,Magazine,0.009,Porter,0,Pryor,0,Sugarloaf,0
QAc-G-0038,/DBG,Porter,Magazine,49.941,Kessler,37.794,Sugarloaf,12.177,Porter,0.088,Pryor,0
QAc-G-0039,/DBG,Porter,Porter,79.129,Kessler,16.062,Sugarloaf,4.702,Magazine,0.106,Pryor,0.001
QAc-G-0040,/DBG,Porter,Porter,69.554,Magazine,30.24,Kessler,0.158,Sugarloaf,0.047,Pryor,0.001
QAc-G-0041,/DBG,Porter,Kessler,99.519,Magazine,0.463,Porter,0.018,Sugarloaf,0,Pryor,0
QAc-G-0042,/DBG,Porter,Kessler,96.131,Magazine,3.868,Sugarloaf,0,Porter,0,Pryor,0
QAc-G-0043,/DBG,Porter,Magazine,62.247,Kessler,37.736,Porter,0.016,Pryor,0,Sugarloaf,0
QAc-G-0044,/DBG,Porter,Magazine,99.807,Porter,0.137,Kessler,0.052,Sugarloaf,0.002,Pryor,0.001
QAc-G-0045,/DBG,Porter,Kessler,99.978,Porter,0.011,Magazine,0.006,Pryor,0.005,Sugarloaf,0
QAc-G-0046,/DBG,Porter,Kessler,99.996,Porter,0.003,Magazine,0.001,Sugarloaf,0,Pryor,0
QAc-G-0047,/DBG,Porter,Pryor,99.852,Magazine,0.094,Kessler,0.044,Porter,0.01,Sugarloaf,0
QAc-G-0048,/DBG,Porter,Kessler,100,Magazine,0,Sugarloaf,0,Porter,0,Pryor,0
QAc-G-0049,/DBG,Pryor,Kessler,99.294,Magazine,0.706,Porter,0,Pryor,0,Sugarloaf,0
QAc-G-0050,/DBG,Pryor,Kessler,100,Magazine,0,Porter,0,Pryor,0,Sugarloaf,0
QAc-G-0051,/DBG,Pryor,Kessler,99.983,Pryor,0.017,Magazine,0,Porter,0,Sugarloaf,0
QAc-G-0052,/DBG,Pryor,Kessler,98.543,Magazine,1.178,Pryor,0.279,Porter,0,Sugarloaf,0
QAc-G-0053,/DBG,Pryor,Kessler,100,Magazine,0,Pryor,0,Porter,0,Sugarloaf,0
QAc-G-0054,/DBG,Pryor,Kessler,100,Magazine,0,Sugarloaf,0,Pryor,0,Porter,0
QAc-G-0055,/DBG,Pryor,Kessler,99.433,Magazine,0.567,Pryor,0,Sugarloaf,0,Porter,0
QAc-G-0056,/DBG,Pryor,Magazine,99.072,Kessler,0.927,Porter,0,Pryor,0,Sugarloaf,0
QAc-G-0057,/DBG,Pryor,Kessler,99.992,Magazine,0.008,Pryor,0,Porter,0,Sugarloaf,0
QAc-G-0058,/DBG,Pryor,Pryor,99.878,Kessler,0.122,Magazine,0,Porter,0,Sugarloaf,0
